/begin_header
/start_date=1997-01-01
/end_date=2019-07-19
/north_latitude=48[deg]
/south_latitude=32[deg]
/east_longitude=-60[deg]
/west_longitude=-80[deg]
! Date processed: 2019-07-19 17:56:40 GMT
! Date archived: 2000-01-01 to 2019-07-19
! Water depth: 0.0 to 10000
! Data source: seabass
! Exclusions:
!                                                             , VIIRS-SNPP          
!  Minimum valid satellite pixels                             ,                  50 
!  Maximum solar zenith angle                                 ,                  75 
!  Maximum satellite zenith angle                             ,                  60 
!  Maximum time difference between satellite and in situ      ,                   3 
!  Maximum coefficient of variation of satellite pixels       ,                0.15 
!  Maximum irradiance difference between measured and modeled ,                  20 
!  Maximum windspeed                                          ,                  35 
!  Most Data Recent Update                                    , 2019-06-27 17:39:43 
! Statistics:
!  Product Name , #   , Mean Bias , Mean Absolute Percent , Mean Absolute Error (MAE) , VIIRS-SNPP Range    , In situ Range       
!  chlor_a      , 128 ,   1.13114 , NaN                   ,                   1.42455 , 0.164524 - 47.68464 , 0.201000 - 22.88572 
/missing=-999
/delimiter=comma
/fields=id,latitude,longitude,date_time,cruise,viirs_filename,viirs_es_error,viirs_pixel_total,viirs_tdiff,viirs_solz,viirs_senz,viirs_cv,viirs_windspeed,viirs_chlor_a,insitu_chlor_a_type,insitu_chlor_a,viirs_rrs410,viirs_rrs443,viirs_rrs486,viirs_rrs551,viirs_rrs671
/units=none,degrees,degrees,yyyy-mm-dd hh:mm:ss,none,none,unitless,unitless,seconds,degrees,degrees,unitless,m*s^-1,mg*m^-3,unitless,mg*m^-3,sr^-1,sr^-1,sr^-1,sr^-1,sr^-1
/end_header
478029,37.68346000,-75.98966000,2013-12-11 15:40:00,cbp06,V2013345182400.L2_SNPP.R0000028718_39N_36N_76W_75W_OCVAL.nc_4551_478029_B5.tgz,0.00000000,25,10068,64.35,36.32,0.071,2.527,8.13680400,chl,7.36920000,0.00131400,0.00225500,0.00357100,0.00619300,0.00208000
478077,37.80013000,-76.17466000,2013-12-11 19:20:00,cbp06,V2013345182400.L2_SNPP.R0000028718_39N_36N_76W_75W_OCVAL.nc_4551_478077_B5.tgz,0.00000000,25,-3130,64.40,35.57,0.090,2.342,12.70402100,chl,9.93240000,0.00041200,0.00100100,0.00168900,0.00336500,0.00123500
478089,37.69180000,-76.18967000,2013-12-11 20:53:00,cbp06,V2013345182400.L2_SNPP.R0000028718_39N_36N_76W_75W_OCVAL.nc_4551_478089_B5.tgz,0.00000000,25,-8712,64.29,35.36,0.136,2.302,11.98296100,chl,9.18480000,0.00033800,0.00106400,0.00187100,0.00356600,0.00132500
478425,37.77513000,-75.97466000,2014-02-18 15:59:00,cbp06,V2014049183000.L2_SNPP.R0000028718_38N_37N_76W_75W_OCVAL.nc_4551_478425_B5.tgz,0.00000000,25,9394,52.50,43.61,0.042,6.208,9.71847600,chl,8.81100000,0.00117400,0.00284500,0.00495700,0.00896200,0.00333400
478431,38.13705000,-76.22787000,2014-02-18 16:40:00,cbp06,V2014049183000.L2_SNPP.R0000028718_38N_37N_76W_75W_OCVAL.nc_4551_478431_B5.tgz,0.00000000,25,6941,52.77,42.91,0.084,5.765,9.76606000,chl,3.63100000,0.00018900,0.00125400,0.00248900,0.00454000,0.00124300
478461,37.68346000,-75.98966000,2014-02-18 18:52:00,cbp06,V2014049183000.L2_SNPP.R0000028718_38N_37N_76W_75W_OCVAL.nc_4551_478461_B5.tgz,0.00000000,25,-988,52.41,43.48,0.034,6.128,8.70243300,chl,7.35733000,0.00110300,0.00267100,0.00471100,0.00849700,0.00294900
478467,37.58124000,-76.05799000,2014-02-18 19:38:00,cbp06,V2014049183000.L2_SNPP.R0000028718_38N_37N_76W_75W_OCVAL.nc_4551_478467_B5.tgz,0.00000000,25,-3749,52.29,43.08,0.037,5.973,7.18987600,chl,5.01960000,0.00113100,0.00259900,0.00446900,0.00746600,0.00225900
478479,37.41153000,-76.07966000,2014-02-18 21:07:00,cbp06,V2014049183000.L2_SNPP.R0000028718_38N_37N_76W_75W_OCVAL.nc_4551_478479_B5.tgz,0.00000000,25,-9091,52.13,42.86,0.043,5.843,6.88538200,chl,3.63120000,0.00111800,0.00254900,0.00458700,0.00753600,0.00216900
479031,37.58847000,-76.16216000,2014-03-20 14:45:00,cbp06,V2014079173000.L2_SNPP.R0000028718_39N_37N_76W_75W_OCVAL.nc_4551_479031_B5.tgz,0.00000000,25,10103,37.91,45.43,0.073,3.339,5.51496200,chl,3.95160000,0.00186300,0.00239600,0.00324700,0.00492800,0.00115700
479067,37.48680000,-76.15633000,2014-03-20 16:50:00,cbp06,V2014079173000.L2_SNPP.R0000028718_39N_37N_76W_75W_OCVAL.nc_4551_479067_B5.tgz,0.00000000,25,2602,37.80,45.61,0.063,3.244,5.90212000,chl,3.84480000,0.00165300,0.00230800,0.00323200,0.00510200,0.00124800
